template_id,profile_id,source_file,source_row,time,protocol,srcIp,dstIp,srcPort,dstPort,srcNumPackets,dstNumPackets,srcPayloadSize,dstPayloadSize,flowDuration,is_control_protocol
profile_00:2120,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,2120,2016-10-01 11:06:05.501206,dns,192.168.1.240,8.8.8.8,60539,53,2,2,66,110,2.0,0
profile_00:2183,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,2183,2016-10-01 11:36:05.480680,icmp,192.168.1.240,208.67.220.220,*,*,5,5,320,320,16.0,1
profile_00:2208,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,2208,2016-10-01 11:50:51.339731,dns,192.168.1.240,192.168.1.1,35863,53,1,1,46,284,165.0,0
profile_00:2233,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,2233,2016-10-01 12:01:05.971457,dns,192.168.1.240,8.8.8.8,51770,53,2,2,66,110,5.0,0
profile_00:2255,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,2255,2016-10-01 12:10:44.458958,ntp,192.168.1.240,138.236.128.36,58352,123,1,1,48,48,197.0,0
profile_00:2272,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,2272,2016-10-01 12:20:03.265842,ntp,192.168.1.240,107.170.224.8,60567,123,1,1,48,48,153.0,0
profile_00:2292,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,2292,2016-10-01 12:26:56.348888,dns,192.168.1.240,8.8.8.8,45995,53,2,2,66,110,2.0,0
profile_00:2297,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,2297,2016-10-01 12:31:56.915070,icmp,192.168.1.240,8.8.8.8,*,*,5,5,320,320,26.0,1
profile_00:2298,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,2298,2016-10-01 12:31:56.952851,icmp,192.168.1.240,208.67.220.220,*,*,5,5,320,320,15.0,1
profile_00:2440,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,2440,2016-10-01 13:36:01.517187,icmp,192.168.1.240,208.67.220.220,*,*,5,5,320,320,10.0,1
profile_00:2505,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,2505,2016-10-01 14:05:52.735910,ntp,192.168.1.240,138.236.128.36,58352,123,1,1,48,48,196.0,0
profile_00:2654,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,2654,2016-10-01 15:10:11.989137,dns,192.168.1.240,8.8.8.8,40399,53,2,2,66,110,2.0,0
profile_00:2677,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,2677,2016-10-01 15:21:09.194957,none,192.168.1.240,72.21.207.120,54042,443,1,0,517,0,0.0,0
profile_00:2702,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,2702,2016-10-01 15:31:23.829557,icmp,192.168.1.240,192.168.1.1,*,*,10,10,640,640,1024.0,1
profile_00:2714,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,2714,2016-10-01 15:35:56.762350,tls,192.168.1.240,54.239.26.180,35219,443,5,7,2959,3236,2063.0,0
profile_00:2733,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,2733,2016-10-01 15:43:20.773448,ntp,192.168.1.240,198.38.16.1,55392,123,1,1,48,48,228.0,0
profile_00:2740,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,2740,2016-10-01 15:46:24.137742,dns,192.168.1.240,8.8.8.8,47529,53,2,2,66,110,2.0,0
profile_00:2843,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,2843,2016-10-01 16:29:13.116690,dns,192.168.1.240,8.8.8.8,36919,53,2,2,66,110,1.0,0
profile_00:2878,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,2878,2016-10-01 16:44:13.559771,icmp,192.168.1.240,8.8.8.8,*,*,5,5,320,320,27.0,1
profile_00:2981,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,2981,2016-10-01 17:34:13.613793,dns,192.168.1.240,8.8.8.8,41656,53,2,2,66,110,2.0,0
profile_00:3049,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,3049,2016-10-01 18:04:49.199969,icmp,192.168.1.240,192.168.1.1,*,*,10,10,640,640,29.0,1
profile_00:3141,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,3141,2016-10-01 18:46:58.580794,ntp,192.168.1.240,107.170.224.8,60567,123,1,1,48,48,153.0,0
profile_00:3143,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,3143,2016-10-01 18:49:49.251223,icmp,192.168.1.240,8.8.8.8,*,*,5,5,320,320,14.0,1
profile_00:3146,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,3146,2016-10-01 18:49:49.479266,dns,192.168.1.240,8.8.8.8,57668,53,2,2,66,110,2.0,0
profile_00:3195,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,3195,2016-10-01 19:09:56.836484,dns,192.168.1.240,192.168.1.1,44514,53,1,1,33,246,366.0,0
profile_00:3214,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,3214,2016-10-01 19:17:57.197302,ntp,192.168.1.240,107.170.224.8,60567,123,1,1,48,48,153.0,0
profile_00:3328,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,3328,2016-10-01 20:13:17.836690,igmp,192.168.1.240,224.0.0.22,*,*,5,0,80,0,8002.0,1
profile_00:3363,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,3363,2016-10-01 20:28:19.992209,icmp,192.168.1.240,208.67.220.220,*,*,5,5,320,320,13.0,1
profile_00:3634,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,3634,2016-10-01 22:34:44.283108,dns,192.168.1.240,8.8.8.8,35627,53,2,2,66,110,1.0,0
profile_00:3638,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,3638,2016-10-01 22:35:56.669822,none,192.168.1.240,54.239.26.180,37547,443,1,0,517,0,0.0,0
profile_00:3673,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,3673,2016-10-01 22:48:55.365270,ntp,192.168.1.240,129.6.15.30,60364,123,2,2,96,96,51704.0,0
profile_00:3715,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,3715,2016-10-01 23:06:18.447639,dns,192.168.1.240,8.8.8.8,44202,53,2,2,66,110,1.0,0
profile_00:3718,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,3718,2016-10-01 23:08:55.886888,ntp,192.168.1.240,198.38.16.1,55392,123,1,1,48,48,228.0,0
profile_00:3736,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,3736,2016-10-01 23:16:19.663400,dns,192.168.1.240,8.8.8.8,47573,53,2,2,66,110,2.0,0
profile_00:3794,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,3794,2016-10-01 23:46:19.788773,dns,192.168.1.240,8.8.8.8,45588,53,2,2,66,110,2.0,0
profile_00:3807,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,3807,2016-10-01 23:51:01.745430,ntp,192.168.1.240,198.38.16.1,55392,123,1,1,48,48,228.0,0
profile_00:3840,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,3840,2016-10-02 00:01:20.215273,ntp,192.168.1.240,198.38.16.1,55392,123,1,1,48,48,228.0,0
profile_00:3931,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,3931,2016-10-02 00:46:14.949011,icmp,192.168.1.240,8.8.8.8,*,*,5,5,320,320,57.0,1
profile_00:4018,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,4018,2016-10-02 01:25:25.995023,ssdp,192.168.1.240,239.255.255.250,50000,1900,4,0,454,0,308.0,1
profile_00:4055,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,4055,2016-10-02 01:43:11.378069,icmp,192.168.1.240,192.168.1.1,*,*,10,10,640,640,105.0,1
profile_00:4099,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,4099,2016-10-02 02:03:11.469545,icmp,192.168.1.240,208.67.220.220,*,*,5,5,320,320,16.0,1
profile_00:4551,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,4551,2016-10-02 05:31:05.023417,dns,192.168.1.240,8.8.8.8,40920,53,2,2,66,110,2.0,0
profile_00:4566,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,4566,2016-10-02 05:37:19.922341,ntp,192.168.1.240,198.38.16.1,52520,123,1,1,48,48,228.0,0
profile_00:4637,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,4637,2016-10-02 06:10:47.295230,dns,192.168.1.240,8.8.8.8,38223,53,2,2,66,110,1.0,0
profile_00:4718,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,4718,2016-10-02 06:50:45.520997,icmp,192.168.1.240,208.67.220.220,*,*,5,5,320,320,16.0,1
profile_00:4814,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,4814,2016-10-02 07:32:54.217976,icmp,192.168.1.240,8.8.8.8,*,*,5,5,320,320,17.0,1
profile_00:4833,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,4833,2016-10-02 07:39:37.035601,ntp,192.168.1.240,107.170.224.8,45770,123,1,1,48,48,153.0,0
profile_00:4981,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,4981,2016-10-02 08:44:05.117726,tls,192.168.1.240,74.125.34.101,51989,443,3,6,735,5528,1329.0,0
profile_00:4995,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,4995,2016-10-02 08:52:19.251486,ntp,192.168.1.240,207.171.178.6,57304,123,1,1,48,48,143.0,0
profile_00:5049,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,5049,2016-10-02 09:17:24.221767,icmp,192.168.1.240,8.8.8.8,*,*,5,5,320,320,12.0,1
profile_00:5076,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,5076,2016-10-02 09:28:18.355483,ntp,192.168.1.240,198.38.16.1,52520,123,1,1,48,48,228.0,0
profile_00:5198,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,5198,2016-10-02 10:24:05.776609,icmp,192.168.1.240,208.67.220.220,*,*,5,5,320,320,9.0,1
profile_00:5200,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,5200,2016-10-02 10:24:05.985077,dns,192.168.1.240,8.8.8.8,43122,53,2,2,66,110,2.0,0
profile_00:5248,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,5248,2016-10-02 10:50:51.439353,dns,192.168.1.240,192.168.1.1,58308,53,1,1,46,284,148.0,0
profile_00:5277,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,5277,2016-10-02 11:02:53.914547,icmp,192.168.1.240,8.8.8.8,*,*,5,5,320,320,36.0,1
profile_00:5308,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,5308,2016-10-02 11:12:54.151478,dns,192.168.1.240,8.8.8.8,34461,53,2,2,66,110,2.0,0
profile_00:5335,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,5335,2016-10-02 11:26:31.680705,ntp,192.168.1.240,72.21.192.213,38185,123,1,1,48,48,216.0,0
profile_00:5361,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,5361,2016-10-02 11:37:53.919204,icmp,192.168.1.240,8.8.8.8,*,*,5,5,320,320,39.0,1
profile_00:5385,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,5385,2016-10-02 11:47:54.304573,dns,192.168.1.240,8.8.8.8,58080,53,2,2,66,110,2.0,0
profile_00:5481,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,5481,2016-10-02 12:29:36.158010,icmp,192.168.1.240,208.67.220.220,*,*,5,5,320,320,17.0,1
profile_00:5503,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,5503,2016-10-02 12:39:35.089208,icmp,192.168.1.240,192.168.1.1,*,*,10,10,640,640,36.0,1
profile_00:5504,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,5504,2016-10-02 12:39:35.135653,icmp,192.168.1.240,8.8.8.8,*,*,5,5,320,320,16.0,1
profile_00:5566,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,5566,2016-10-02 13:09:35.088736,icmp,192.168.1.240,192.168.1.1,*,*,10,10,640,640,38.0,1
profile_00:5635,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,5635,2016-10-02 13:40:08.522402,ntp,192.168.1.240,138.236.128.36,54635,123,1,1,48,48,196.0,0
profile_00:5704,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,5704,2016-10-02 14:09:50.881537,ntp,192.168.1.240,198.38.16.1,52520,123,1,1,48,48,228.0,0
profile_00:5723,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,5723,2016-10-02 14:19:01.739547,dns,192.168.1.240,8.8.8.8,36826,53,2,2,66,110,1.0,0
profile_00:5773,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,5773,2016-10-02 14:39:01.315320,dns,192.168.1.240,8.8.8.8,47758,53,2,2,66,110,2.0,0
profile_00:5792,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,5792,2016-10-02 14:49:01.265308,icmp,192.168.1.240,8.8.8.8,*,*,5,5,320,320,12.0,1
profile_00:5994,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,5994,2016-10-02 16:10:16.105786,tls,192.168.1.240,74.125.34.101,38207,443,3,6,735,5528,1049.0,0
profile_00:6014,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,6014,2016-10-02 16:20:42.983623,ntp,192.168.1.240,206.108.0.132,50762,123,7,7,336,336,317198.0,0
profile_00:6028,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,6028,2016-10-02 16:28:37.301442,ntp,192.168.1.240,96.244.96.19,55655,123,3,2,144,96,103840.0,0
profile_00:6093,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,6093,2016-10-02 17:00:06.880139,dns,192.168.1.240,8.8.8.8,34101,53,2,2,66,110,1.0,0
profile_00:6188,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,6188,2016-10-02 17:43:43.989819,dns,192.168.1.240,8.8.8.8,49249,53,2,2,66,110,1.0,0
profile_00:6246,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,6246,2016-10-02 18:13:43.526897,icmp,192.168.1.240,192.168.1.1,*,*,10,10,640,640,37.0,1
profile_00:6290,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,6290,2016-10-02 18:30:49.726937,ntp,192.168.1.240,72.21.192.213,49131,123,1,1,48,48,205.0,0
profile_00:6304,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,6304,2016-10-02 18:35:51.425886,none,192.168.1.240,72.21.207.109,50234,443,1,0,37,0,0.0,0
profile_00:6569,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,6569,2016-10-02 20:33:00.485325,none,192.168.1.240,129.6.15.30,41788,123,1,0,48,0,0.0,0
profile_00:6579,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,6579,2016-10-02 20:36:40.907079,dns,192.168.1.240,8.8.8.8,50110,53,2,2,66,110,2.0,0
profile_00:6584,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,6584,2016-10-02 20:41:38.713640,icmp,192.168.1.240,8.8.8.8,*,*,5,5,320,320,43.0,1
profile_00:6621,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,6621,2016-10-02 20:56:39.648780,dns,192.168.1.240,8.8.8.8,45459,53,2,2,66,110,1.0,0
profile_00:6662,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,6662,2016-10-02 21:18:33.909091,ntp,192.168.1.240,97.107.128.58,57103,123,1,1,48,48,204.0,0
profile_00:6666,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,6666,2016-10-02 21:20:51.441098,dns,192.168.1.240,192.168.1.1,52917,53,1,1,46,284,152.0,0
profile_00:6684,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,6684,2016-10-02 21:29:41.301611,ntp,192.168.1.240,71.252.219.43,50168,123,7,7,336,336,320337.0,0
profile_00:6795,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,6795,2016-10-02 22:21:53.640490,ntp,192.168.1.240,207.171.178.6,34000,123,1,1,48,48,144.0,0
profile_00:6918,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,6918,2016-10-02 23:19:12.520003,dns,192.168.1.240,8.8.8.8,52011,53,2,2,66,110,1.0,0
profile_00:6961,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,6961,2016-10-02 23:39:12.165163,dns,192.168.1.240,8.8.8.8,59479,53,2,2,66,110,2.0,0
profile_00:6981,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,6981,2016-10-02 23:49:12.122196,icmp,192.168.1.240,208.67.220.220,*,*,5,5,320,320,9.0,1
profile_00:6992,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,6992,2016-10-02 23:54:12.109349,icmp,192.168.1.240,8.8.8.8,*,*,5,5,320,320,29.0,1
profile_00:7042,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,7042,2016-10-03 00:17:14.099312,ntp,192.168.1.240,72.21.192.213,45152,123,1,1,48,48,216.0,0
profile_00:7105,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,7105,2016-10-03 00:39:56.087204,ntp,192.168.1.240,132.163.4.101,50476,123,1,1,48,48,209.0,0
profile_00:7107,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,7107,2016-10-03 00:43:21.149952,icmp,192.168.1.240,192.168.1.1,*,*,10,10,640,640,29.0,1
profile_00:7138,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,7138,2016-10-03 00:54:40.375537,ntp,192.168.1.240,107.170.224.8,54687,123,1,1,48,48,153.0,0
profile_00:7144,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,7144,2016-10-03 00:58:21.284694,dns,192.168.1.240,8.8.8.8,41363,53,2,2,66,110,1.0,0
profile_00:7180,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,7180,2016-10-03 01:18:21.226487,icmp,192.168.1.240,208.67.220.220,*,*,5,5,320,320,10.0,1
profile_00:7181,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,7181,2016-10-03 01:18:21.249154,dns,192.168.1.240,8.8.8.8,59257,53,2,2,66,110,2.0,0
profile_00:7207,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,7207,2016-10-03 01:29:00.565701,igmp,192.168.1.240,224.0.0.22,*,*,4,0,64,0,9959.0,1
profile_00:7220,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,7220,2016-10-03 01:34:01.368444,dns,192.168.1.240,8.8.8.8,43944,53,2,2,66,110,2.0,0
profile_00:7273,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,7273,2016-10-03 01:57:47.144111,ntp,192.168.1.240,206.108.0.131,49839,123,7,7,336,336,319256.0,0
profile_00:7336,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,7336,2016-10-03 02:29:02.583686,dns,192.168.1.240,8.8.8.8,45138,53,2,2,66,110,2.0,0
profile_00:7384,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,7384,2016-10-03 02:50:55.532257,dns,192.168.1.240,8.8.8.8,44409,53,1,1,46,62,1.0,0
profile_00:7468,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,7468,2016-10-03 03:33:58.928324,dns,192.168.1.240,8.8.8.8,58228,53,2,2,66,110,2.0,0
profile_00:7508,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,7508,2016-10-03 03:52:14.958077,icmp,192.168.1.240,192.168.1.1,*,*,10,10,640,640,87.0,1
profile_00:7603,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,7603,2016-10-03 04:35:51.443415,dns,192.168.1.240,192.168.1.1,58530,53,1,1,46,284,168.0,0
profile_00:7624,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,7624,2016-10-03 04:45:59.857688,ntp,192.168.1.240,107.170.224.8,47224,123,1,1,48,48,153.0,0
profile_00:7743,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,7743,2016-10-03 05:41:24.202455,ntp,192.168.1.240,198.38.16.1,56583,123,7,7,336,336,312892.0,0
profile_00:7753,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,7753,2016-10-03 05:49:47.740034,ntp,192.168.1.240,138.236.128.36,53001,123,1,1,48,48,196.0,0
profile_00:7849,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,7849,2016-10-03 06:29:26.484117,dns,192.168.1.240,8.8.8.8,37865,53,2,2,66,110,1.0,0
profile_00:7884,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,7884,2016-10-03 06:44:26.472702,dns,192.168.1.240,8.8.8.8,36814,53,2,2,66,110,2.0,0
profile_00:7912,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,7912,2016-10-03 06:59:26.224495,icmp,192.168.1.240,8.8.8.8,*,*,5,5,320,320,15.0,1
profile_00:7923,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,7923,2016-10-03 07:04:26.212981,icmp,192.168.1.240,8.8.8.8,*,*,5,5,320,320,18.0,1
profile_00:7933,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,7933,2016-10-03 07:07:36.502994,ntp,192.168.1.240,138.236.128.36,53001,123,1,1,48,48,199.0,0
profile_00:8064,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,8064,2016-10-03 08:09:54.496601,ntp,192.168.1.240,208.75.88.4,60575,123,1,1,48,48,148.0,0
profile_00:8071,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,8071,2016-10-03 08:12:06.580890,dns,192.168.1.240,8.8.8.8,52831,53,2,2,66,110,1.0,0
profile_00:8202,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,8202,2016-10-03 09:13:16.092965,dns,192.168.1.240,8.8.8.8,47437,53,2,2,66,110,1.0,0
profile_00:8223,profile_00,flows/AmazonEcho_44650d56ccd3_flows.csv,8223,2016-10-03 09:23:16.075622,dns,192.168.1.240,8.8.8.8,54895,53,2,2,66,110,1.0,0
